# name, mass, radius, period, axis, eccentricity, inclination, angular_distance, publication_status_letter, discovered, updated, omega, tperi, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
HAT-P-27_WASP-40 b,0.66,1.055,3.0395721,0.0403,0.078,84.98,0.000198,R,2011,2011-01-25,63.0,,detected by transit,,HAT-P-27/WASP-40,14:51:04.0,+05:56:50,12.21,,,,,204.0,0.29,0.945,0.898,G8,4.4,5300.0
HAT-P-28 b,0.626,1.212,3.257215,0.0434,0.051,88.0,0.00011,R,2011,2011-03-09,233.0,,detected by transit,,HAT-P-28,00:52:00.0,+34:43:42,13.03,,,,,395.0,0.12,1.025,1.103,G3,6.1,5680.0
HAT-P-29 b,0.778,1.107,5.72318,0.0667,0.095,87.1,0.000207,R,2011,2011-03-09,169.0,,detected by transit,,HAT-P-29,02:12:31.0,+51:46:44,11.9,,,,,322.0,0.21,1.207,1.224,F8,2.2,6087.0
HAT-P-3 b,0.591,0.827,2.899703,0.03866,0.0,87.07,0.000297,R,2007,2011-03-26,,,detected by transit,,HAT-P-3,13:44:23.0,+48:01:43,11.86,,9.936,9.542,9.448,130.0,0.41,0.917,0.799,K,1.6,5224.0
HAT-P-30_WASP-51 b,0.711,1.34,2.810595,0.0419,0.035,83.6,0.000217,R,2011,2012-04-08,252.0,,detected by transit,,HAT-P-30/WASP-51,08:15:48.0,+05:50:12,10.42,,,,,193.0,-0.08,1.18,1.33,F,1.0,6250.0
HAT-P-31 b,2.171,1.07,5.005425,0.055,0.245,87.1,0.000155,R,2011,2011-06-08,274.3,,detected by transit,,HAT-P-31,18:06:09.0,+26:25:36,11.66,,,,,354.0,0.15,1.218,1.36,,3.17,6065.0
HAT-P-32 b,0.941,2.037,2.150009,0.0344,0.163,88.7,0.000108,R,2011,2012-07-05,52.0,,detected by transit,,HAT-P-32,02:01:10.0,+46:41:16,11.29,,,,,320.0,-0.16,1.176,1.387,F/G,3.8,6001.0
HAT-P-33 b,0.763,1.827,3.474474,0.0503,0.148,86.7,0.00012,R,2011,2011-06-10,96.0,,detected by transit,,HAT-P-33,07:32:44.0,+33:50:06,11.89,,,,,419.0,0.05,1.403,1.777,F,2.4,6401.0
HAT-P-34 b,3.328,1.107,5.452654,0.0677,0.441,87.1,0.000263,R,2012,2012-07-05,20.0,,detected by transit,,HAT-P-34,20:12:47.0,+18:06:18,10.16,,,,,257.0,0.22,1.392,1.535,,1.7,6442.0
HAT-P-35 b,1.054,1.332,3.646706,0.0498,0.025,87.3,9.3e-05,R,2012,2012-01-14,248.0,,detected by transit,,HAT-P-35,08:13:00.0,+04:47:13,12.46,,,,,535.0,0.11,1.236,1.435,,3.5,6096.0
HAT-P-36 b,1.832,1.264,1.327347,0.0238,0.063,86.0,7.5e-05,R,2012,2012-01-14,95.0,,detected by transit,,HAT-P-36,12:33:03.0,+44:54:55,12.26,,,,,317.0,0.26,1.022,1.096,,6.6,5580.0
HAT-P-37 b,1.169,1.178,2.797436,0.0379,0.058,86.9,9.2e-05,R,2012,2012-01-14,164.0,,detected by transit,,HAT-P-37,18:57:11.0,+51:16:09,13.23,,,,,411.0,0.03,0.929,0.877,,3.6,5500.0
HAT-P-38 b,0.267,0.825,4.640382,0.0523,0.067,88.3,0.00021,S,2012,2012-01-25,240.0,,detected by transit,,HAT-P-38,00:00:00.0,+00:00:00,12.56,,,,,249.0,0.06,0.886,0.923,G,10.1,5330.0
HAT-P-4 b,0.68,1.27,3.0565114,0.0446,0.0,89.67,0.000144,R,2007,2012-04-05,,,detected by transit,,HAT-P-4,15:19:58.0,+36:13:47,11.2,,,,,310.0,0.2,1.26,1.59,F,4.2,5890.0
HAT-P-5 b,1.06,1.252,2.788491,0.04079,0.0,86.75,0.00012,S,2007,2012-05-22,,,detected by transit,,HAT-P-5,18:17:37.0,+36:37:18,12.0,11.3,,,,340.0,0.24,1.163,1.137,,1.7,5960.0
HAT-P-6 b,1.057,1.33,3.853003,0.05235,0.0,85.51,0.000262,S,2007,2012-07-05,,,detected by transit,,HAT-P-6,23:39:06.0,+42:27:58,10.5,10.6,,,,200.0,-0.13,1.29,1.46,F,2.3,6570.0
HAT-P-7 b,1.8,1.421,2.2047298,0.0379,0.0,84.1,0.000118,R,2008,2012-07-05,,,detected by transit,,HAT-P-7,19:28:59.0,+47:58:10,10.5,,,,,320.0,0.26,1.47,1.84,,,6350.0
